1	4
16	4
58	0
67	0
84	0
130	9
145	7
182	6
193	3
209	3
259	2
308	2
361	2
388	2
399	2
410	2
425	3
455	3
462	3
550	1
557	4
579	7
598	8
611	8
656	9
686	9
705	9
735	0
751	0
786	5
808	5
810	5
812	5
890	5
909	5
923	5
942	4
962	4
973	4
983	4
9	4
41	0
52	0
65	0
68	0
73	0
83	0
85	0
124	4
131	7
134	7
138	7
153	7
244	1
261	8
270	9
277	9
281	9
303	2
304	2
315	2
318	2
337	2
367	2
369	2
378	2
392	2
417	9
430	3
471	3
503	9
538	1
539	1
551	1
564	0
577	7
582	4
584	4
617	8
622	9
626	9
646	9
651	9
663	9
670	9
675	9
708	9
727	0
757	0
774	0
777	5
825	5
849	2
877	2
887	5
911	5
934	1
951	4
954	4
975	4
